コンテンツ関連支払明細書ファイル名,コンテンツ関連支払明細書ファイル名,mediba,mediba,LINE,ameba,楽天,excite,docomo,softbank,au
aiga,,OWD_aiga_01,名古屋の行列占～大須の母・相賀琉予～,,大須の母,aiga,万物見極め真実晒す！　名古屋の行列占〜大須の母・相賀琉予〜,,,
aizuki,aizuki-lesson,OWD_aiduki_01,前世と現世をつなぐ脅威の霊界人～赤い糸の母,,愛月 香須裳,aizuki,,,,
amano,,,,最強の姓名鑑定師軍団,,amano,,,,
aoki,,OWD_aokitomo_01,全国の占い学校から講演依頼殺到！◆青木智の極当占“十大主星占術”,青木 智,十大主星占術,aoki,全国の占い学校から講演依頼殺到！◆青木智の極当占“十大主星占術”,,,
aqua,,OWD_aqua_01,驚異の《引き上げ》鑑定士“AQUA”,,AQUA,aqua,人生の“負”を強制排除！ 驚異の《引き上げ》鑑定士“AQUA”,,,
aron,aron-motoduka,OWD_aron_01,“帝劇ビル地下の運命支配人”アロン,,アロン,aron,,,,
asuru,,OWD_asuru_01,怖い程当たる！　オールドマンオラクル,,神坂あする,asuru,,,,
chazz,,OWD_chazz_01,占術探求師CHAZZと開く幸運の道,,CHAZZ,chazz,,,,
chigumi,,OWD_ychigumi_01,Chigumiのハワイアン・エレメンタル,,Chigumi,chigumi,精霊たちの囁きに鳥肌！　Chigumiのハワイアン・エレメンタル,,,
chiharu,,OWD_chiharu_02,木村衣晴ツインソウル・リーディング,,木村衣晴《ツインソウルリーディング》,chiharu,"心"貫く至高の感涙鑑定！木村衣晴ツインソウル・リーディング,,,
chiki,,OWD_chiki_01,冬月式【極】算命学,,冬月ちき,chiki,,,,
dyg,,OWD_daiyang_01,占い系YouTuber◆ダイヤング・タロット,,ダイヤング,dyg,,,,
ensei,ensei-motoduka,OWD_enseisyu_01,聖地奄美大島の“ユタ神様”円聖修の輪華霊術,,円聖修,ensei,,,,
epc,epc-count,OWD_Milla_01,転写パワーであなたの幸運細胞を揺さぶる！　エナジープロデュースカード,ミラ,Milla,epc,転写パワーであなたの幸運細胞を揺さぶる！　エナジープロデュースカード,,,
