番組ID,実績,CP売上負担額合計,情報提供料合計,ファイル名
OWD_Milla_01,5200,131,1949.0,SalesSummary_202501_OWD_detail.csv
OWD_aiga_01,1000,25,375.0,SalesSummary_202501_OWD_detail.csv
OWD_aokitomo_01,5400,120,2040.0,SalesSummary_202501_OWD_detail.csv
OWD_aron_01,3000,50,1150.0,SalesSummary_202501_OWD_detail.csv
OWD_asuka_02,5700,88,2192.0,SalesSummary_202501_OWD_detail.csv
OWD_chazz_01,4500,114,1686.0,SalesSummary_202501_OWD_detail.csv
OWD_chiharu_02,9200,230,3450.0,SalesSummary_202501_OWD_detail.csv
OWD_enseisyu_01,8000,125,3075.0,SalesSummary_202501_OWD_detail.csv
OWD_fujita_01,2000,50,750.0,SalesSummary_202501_OWD_detail.csv
OWD_hoshikaze_01,3000,75,1125.0,SalesSummary_202501_OWD_detail.csv
OWD_houjo_01,2000,25,775.0,SalesSummary_202501_OWD_detail.csv
OWD_ikai_01,2000,50,750.0,SalesSummary_202501_OWD_detail.csv
OWD_kairi_01,800,20,300.0,SalesSummary_202501_OWD_detail.csv
OWD_kanon_01,2400,60,900.0,SalesSummary_202501_OWD_detail.csv
OWD_keiko_01,28400,805,10555.0,SalesSummary_202501_OWD_detail.csv
OWD_keiko_03,3600,75,1365.0,SalesSummary_202501_OWD_detail.csv
OWD_keiko_04,6400,315,2245.0,SalesSummary_202501_OWD_detail.csv
OWD_klara_01,600,15,225.0,SalesSummary_202501_OWD_detail.csv
OWD_koike_01,12900,784,4376.0,SalesSummary_202501_OWD_detail.csv
OWD_macalon_01,6700,189,2491.0,SalesSummary_202501_OWD_detail.csv
OWD_matsuyama_01,1300,33,487.0,SalesSummary_202501_OWD_detail.csv
OWD_miesha_01,1000,26,374.0,SalesSummary_202501_OWD_detail.csv
OWD_miku_02,1200,30,450.0,SalesSummary_202501_OWD_detail.csv
OWD_noda_01,3200,65,1215.0,SalesSummary_202501_OWD_detail.csv
OWD_okada_01,1000,25,375.0,SalesSummary_202501_OWD_detail.csv
OWD_ophelia_01,22300,1386,7534.0,SalesSummary_202501_OWD_detail.csv
OWD_reirin_01,1300,33,487.0,SalesSummary_202501_OWD_detail.csv
OWD_shape_01,27400,695,10265.0,SalesSummary_202501_OWD_detail.csv
OWD_shintaku_01,4100,0,1640.0,SalesSummary_202501_OWD_detail.csv
OWD_soldona_01,2000,50,750.0,SalesSummary_202501_OWD_detail.csv
OWD_tachibana_01,1500,38,562.0,SalesSummary_202501_OWD_detail.csv
OWD_tenmei_01,3800,96,1424.0,SalesSummary_202501_OWD_detail.csv
OWD_tomoko_01,2000,50,750.0,SalesSummary_202501_OWD_detail.csv
OWD_tshourei_01,10000,340,3660.0,SalesSummary_202501_OWD_detail.csv
OWD_tsukikage_01,1000,25,375.0,SalesSummary_202501_OWD_detail.csv
OWD_Milla_01,1300,34,486.0,SalesSummary_202502_OWD_detail.csv
OWD_aokitomo_01,1300,0,520.0,SalesSummary_202502_OWD_detail.csv
OWD_aron_01,3500,88,1312.0,SalesSummary_202502_OWD_detail.csv
OWD_asuka_02,1000,25,375.0,SalesSummary_202502_OWD_detail.csv
