プラットフォーム,ファイル名,コンテンツ,実績,情報提供料合計,年月,処理日時
au,SalesSummary_202501_OWD_detail.csv,OWD_chiharu_02,9200,3450.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_okada_01,1000,375.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_shape_01,27400,10265.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_macalon_01,6700,2491.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_fujita_01,2000,750.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_koike_01,12900,4376.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_matsuyama_01,1300,487.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_chazz_01,4500,1686.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_tomoko_01,2000,750.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_enseisyu_01,8000,3075.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_keiko_01,28400,10555.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_klara_01,600,225.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_kairi_01,800,300.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_kanon_01,2400,900.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_houjo_01,2000,775.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_ophelia_01,22300,7534.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_soldona_01,2000,750.0,202501,2025-07-16 17:41:37
au,SalesSummary_202501_OWD_detail.csv,OWD_shintaku_01,4100,1640.0,202501,2025-07-16 17:41:37
