売上年月,aiga,aoki,aqua,aron,chigumi,chiharu,ensei,fujita,gyoku,hakuryu,hayuki,ikai,jose,kairi,kasya,keit,kimyaku,kirei,klara,koyanagi,lumiko,maril,matsuyama-kairon,merisa,miesha,mikomaria,miku,miyoko-syufu,miyoko-tirol,narusawa,niu,noda,okac,ophelia,reirin,renri,rie,risui,shokita,sugano,syuki,tnoel,tomoko,tsukikage,yuki,yuki-osajima,asuru,chazz,tnoel-yeti,fujita-kairon,ikai-kairon,koyanagi-kairon,lumiko-kairon,matsuyama,noda-kairon,chiki,dyg,mian,mokuren,sashat,epc,gaia,ichild,macalon,mermaid,shape,shintaku,aizuki,etenmei,hoshikaze,kiko,lemurian,amano,takashima,aron-motoduka,ensei-motoduka,hayuki-motoduka,jose-motoduka,kairi-motoduka,keit-motoduka,maril-motoduka,mikomaria-motoduka,niu-motoduka,reirin-motoduka,renri-motozuka,syuki-motoduka,tsukikage-motoduka,keiko,kmo2,luna,mlo,pof
202401,68,360,41,218,34,34,138,34,48,83,2,93,4,2,354,26,0,1,0,105,72,2,0,96,40,228,0,1191,1191,35,241,387,63,455,81,79,175,0,301,0,71,128,2,47,58,42,318,150,141,9,26,29,20,1,107,415,173,425,7,1286,794,288,178,1564,216,9917,752,8,65,129,525,74,52,2283,72,46,1,1,1,9,0,76,81,25,26,24,16,726,177,3,1211,193
202402,151,39,146,157,191,23,179,73,182,141,112,42,4,34,9,127,0,25,377,1,7,1,37,0,31,226,111,795,795,350,358,1,1,514,45,0,219,0,49,0,0,69,93,2,9,7,62,158,76,20,12,0,2,133,0,702,22,747,75,20,217,446,908,754,520,11145,365,58,65,74,177,325,0,827,53,60,37,1,11,42,0,75,119,14,0,0,1,557,423,209,1315,151
202403,91,136,51,3,2,2,200,111,451,115,107,173,66,57,2,69,0,0,68,2,30,28,48,0,210,34,134,536,536,287,2,30,62,390,99,72,88,0,340,0,123,40,1,70,128,94,106,52,44,31,47,1,8,179,9,4084,1736,5011,3167,2393,141,0,370,629,58,8698,272,327,102,136,317,0,0,244,1,67,35,22,19,23,0,11,1,30,24,42,24,185,408,101,1497,265
202404,27,921,40,596,485,3,694,482,1650,1444,722,872,1441,459,1000,398,0,2,503,2303,2,443,807,0,40,1189,0,573,573,6125,800,817,1148,275,1350,907,1452,48,360,2584,520,575,796,738,754,553,1276,490,634,133,240,635,0,2930,226,2034,1933,2229,5431,2364,3123,1619,950,1254,347,9046,143,881,1260,1189,1144,1106,0,254,199,230,241,481,152,132,0,396,267,408,302,173,247,839,1467,578,2651,91
202405,85,656,442,766,410,79,926,557,1240,1056,632,542,837,983,1695,113,0,0,0,1086,600,319,290,45,29,602,365,354,354,6305,741,1197,851,470,1005,1066,1295,0,488,2352,288,428,1070,483,325,238,797,111,472,154,150,299,165,1058,330,3095,2393,1937,3276,1913,3098,308,440,1161,887,7897,244,457,1110,1173,872,1120,0,425,256,309,211,279,328,38,0,200,248,305,356,97,161,495,1715,455,3585,397
202406,416,968,73,1174,395,175,1370,576,637,1086,665,795,890,515,672,166,0,181,241,1616,738,306,865,0,152,816,72,64,64,5655,1650,1384,1596,186,908,1195,1,123,132,839,616,486,722,300,504,371,737,4,536,158,219,446,204,3134,381,4018,1370,238,3191,2769,3317,0,1043,1084,618,6037,788,924,510,1395,1685,1102,44,283,391,457,221,297,171,55,0,272,550,273,398,206,100,33,1726,357,2497,222
202407,378,1071,366,852,902,6,1216,732,566,885,347,705,1406,1093,1020,38,0,91,80,567,399,2174,224,0,126,467,116,167,167,2346,522,699,1360,208,971,862,260,29,347,1568,481,935,1308,395,512,375,702,110,1031,202,194,156,110,816,191,2296,1588,1337,4304,8272,2130,846,568,936,106,8966,2113,1059,1262,369,2346,738,55,347,283,406,116,469,365,13,0,156,173,295,288,161,132,645,503,585,3895,230
202408,298,1450,75,734,1268,3,669,419,106,1370,658,1049,1039,419,955,393,0,145,102,419,507,472,428,60,1,318,112,388,388,4260,622,507,518,216,1570,846,519,185,328,1236,393,741,715,661,696,512,1003,194,817,114,289,116,140,1554,140,5389,1757,4477,1095,3497,1781,239,312,1158,1255,7004,575,1454,556,1122,691,1144,0,124,245,223,219,347,140,132,0,106,209,475,282,132,220,609,1334,1279,2921,527
202409,60,696,14,757,1109,7,781,1261,785,1003,524,1014,652,52,1324,537,0,11,545,1145,325,296,186,0,259,522,134,2313,2313,4001,924,725,781,562,543,876,463,0,369,1406,621,331,187,580,220,162,998,263,365,349,279,316,89,670,199,3782,3098,3938,4285,2604,3180,198,248,947,1702,4965,806,1037,644,1587,749,1615,0,694,251,260,175,218,17,180,0,175,308,165,292,207,193,1097,1939,738,3126,133
202410,309,946,106,764,885,4,640,552,652,709,761,814,829,271,716,396,0,24,59,410,558,150,571,0,35,446,176,2308,2308,2812,859,719,421,202,408,927,425,0,215,1108,561,207,455,316,584,429,1657,171,228,152,224,113,154,2073,198,7009,4798,1642,1870,3137,2143,0,0,329,575,9148,788,513,1244,2152,682,751,55,455,255,213,253,277,90,132,0,149,287,123,309,187,105,1706,1375,935,1454,18
202411,151,342,70,1263,650,40,528,1139,685,509,303,1471,859,608,475,601,0,55,430,550,654,1177,509,45,1,318,154,2368,2368,2423,662,631,526,781,1020,730,717,0,57,1311,504,747,522,440,532,392,261,2,823,314,405,152,180,1853,174,7565,4787,1205,2261,2784,991,264,433,969,150,6976,827,1816,921,1982,803,578,0,455,420,176,101,287,202,200,0,106,221,308,243,168,147,1114,1275,836,1396,227
202412,308,869,151,834,302,42,607,435,200,1090,465,904,808,361,914,331,0,35,538,75,342,768,538,0,58,372,130,2351,2351,2882,993,548,826,589,584,605,318,0,512,1263,1067,109,476,1041,1186,870,887,470,120,120,249,21,95,1954,151,5721,3385,4893,3443,2596,1821,215,486,1361,1674,6201,591,1021,884,1639,604,594,0,416,278,202,155,269,121,111,0,123,330,177,201,356,348,1150,1417,420,1659,109
202501,331,505,178,721,1053,67,840,93,962,832,415,1288,969,425,881,122,0,365,341,1505,428,796,395,0,61,487,149,2199,2199,1356,676,845,493,829,1394,857,416,0,696,1901,316,1005,956,1044,346,253,2428,94,1108,25,354,414,118,1434,233,992,1078,1717,1640,2374,4523,173,1042,1606,516,10331,652,1472,1008,507,598,813,0,436,240,280,138,322,141,41,0,162,226,422,286,105,348,1750,1414,160,2201,1
202502,332,420,92,457,477,1,547,370,231,874,47,679,627,209,558,249,0,53,208,396,127,177,340,0,2,389,75,2170,2170,3850,313,197,1030,211,824,569,73,0,347,666,330,106,422,363,110,80,837,1,117,102,187,110,34,1233,54,551,590,135,325,406,2625,0,431,199,1416,6059,0,486,282,331,826,39,0,517,152,182,16,209,70,83,0,130,105,249,190,110,121,1603,817,225,1348,1
202503,1608,339,130,26,123,2,206,2,231,305,225,321,6,27,479,126,0,29,186,0,120,312,21,82,365,179,112,1928,1928,150,100,30,29,330,29,52,230,0,0,226,52,28,202,26,297,218,190,164,31,0,89,0,33,75,9,3714,344,1494,61,10,1136,0,173,598,86,5980,33,287,272,1277,332,139,0,303,9,69,75,2,9,42,0,60,33,9,17,17,9,1280,709,5,1386,101
202504,160,83,1,61,1,3,93,1,2,175,116,49,4,272,267,59,0,56,191,2,306,29,30,0,150,82,183,2299,2299,337,80,28,171,177,174,0,306,0,298,151,2,148,35,49,96,69,112,55,163,0,13,0,85,109,7,642,590,106,15,141,316,239,66,473,666,7964,1234,529,305,332,297,365,0,172,20,31,39,1,91,20,0,27,27,53,0,1,16,1411,380,457,1300,202
202505,67,301,139,72,88,318,386,62,0,89,4,137,21,76,39,165,0,83,37,1,102,65,65,62,149,78,227,0,2123,69,69,98,32,1349,206,61,118,110,2201,341,71,142,109,155,31,22,108,355,156,17,37,0,28,233,26,1136,1733,664,8,228,637,0,106,855,14,5672,722,79,381,127,370,99,28,744,24,129,1,7,25,55,0,26,23,63,20,24,52,1998,242,2753,1589,202
202506,87,190,160,83,0,37,203,0,223,276,49,0,3,213,52,207,0,81,79,2,9,56,20,0,155,141,74,1845,1845,63,87,50,0,29,6,112,35,0,536,151,1,0,346,529,49,35,48,0,0,0,0,0,2,72,14,2306,1214,580,129,928,183,367,152,1960,1571,6523,873,114,230,818,296,479,0,116,27,68,16,1,72,69,0,47,29,2,38,0,176,1394,251,66,884,151
